# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
30 5.9 0.511145 12.3634
31 6.1 0.415311 12.8681
32 6.3 0.434015 13.4306
33 6.5 0.510069 14.1343
34 6.7 0.581142 14.9861
35 6.9 0.586656 15.8981
36 7.1 0.704544 17.0579
37 7.3 0.727663 18.3241
38 7.5 0.907403 19.9907
39 7.7 1.12991 22.1782
40 7.9 1.41192 25.0556
41 8.1 1.48677 28.2407
42 8.3 1.45097 31.5046
43 8.5 1.37761 34.7546
44 8.7 1.29533 37.956
45 8.9 1.20287 41.0671
46 9.1 1.0624 43.9398
47 9.3 0.995066 46.75
48 9.5 0.886057 49.3611
49 9.7 0.864213 52.0162
50 9.9 0.868708 54.7963
1900 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0889706 0.0439815
21 4.1 0.999943 0.590278
22 4.3 2.54241 2.11806
23 4.5 3.15158 4.19213
24 4.7 2.97617 6.3287
25 4.9 2.13895 7.99769
26 5.1 1.56919 9.32407
27 5.3 1.16646 10.3889
28 5.5 0.819451 11.1944
29 5.7 0.532757 11.7569
30 5.9 0.478837 12.2986
31 6.1 0.447955 12.8403
32 6.3 0.464836 13.4398
33 6.5 0.502426 14.1296
34 6.7 0.555397 14.9398
35 6.9 0.62541 15.9074
36 7.1 0.641546 16.9583
37 7.3 0.735202 18.2315
38 7.5 0.909271 19.8935
39 7.7 1.12337 22.0579
40 7.9 1.33544 24.7662
41 8.1 1.50049 27.9653
42 8.3 1.48075 31.2801
43 8.5 1.38823 34.5394
44 8.7 1.31573 37.7755
45 8.9 1.22758 40.9352
46 9.1 1.06583 43.8032
47 9.3 0.980949 46.5602
48 9.5 0.873779 49.1227
49 9.7 0.853262 51.7315
50 9.9 0.870014 54.5023
2000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00524088 0.00231481
20 3.9 0.075476 0.0393519
21 4.1 0.8494 0.5
22 4.3 2.42537 1.94676
23 4.5 3.26344 4.0787
24 4.7 2.88771 6.13657
25 4.9 2.31613 7.93056
26 5.1 1.65803 9.32176
27 5.3 1.13932 10.3542
28 5.5 0.804155 11.1389
29 5.7 0.580864 11.7477
30 5.9 0.474128 12.2801
31 6.1 0.447407 12.8171
32 6.3 0.453805 13.3981
33 6.5 0.506137 14.088
34 6.7 0.5579 14.8958
35 6.9 0.566725 15.7662
36 7.1 0.673331 16.8611
37 7.3 0.712354 18.0856
38 7.5 0.885369 19.6921
39 7.7 1.11351 21.8218
40 7.9 1.31541 24.4699
41 8.1 1.47876 27.5995
42 8.3 1.48648 30.9028
43 8.5 1.45212 34.287
44 8.7 1.30364 37.4699
45 8.9 1.21219 40.5671
46 9.1 1.11183 43.537
47 9.3 0.94007 46.1597
48 9.5 0.904882 48.794
49 9.7 0.842022 51.3495
50 9.9 0.867653 54.0926
